date	NewClinicalCase	Received_Treatment	Received_Campaign_Drugs	Received_ITN
20140713	0	0	0	0
20140714	0	0	0	0
20140715	0	0	0	0
20140716	0	0	0	0
20140717	0	0	0	0
20140718	0	0	0	0
20140719	0	0	0	0
20140720	0	0	0	0
20140721	0	0	0	0
20140722	0	0	0	0
20140723	0	0	0	0
20140724	0	0	0	0
20140725	0	0	0	0
20140726	0	0	0	0
20140727	0	0	0	0
20140728	0	0	0	0
20140729	0	0	0	0
20140730	0	0	0	0
20140731	0	0	0	0
20140801	0	0	0	0
20140802	0	0	0	0
20140803	0	0	0	0
20140804	0	0	0	0
20140805	0	0	0	0
20140806	0	0	0	0
20140807	0	0	0	0
20140808	0	0	0	0
20140809	0	0	0	0
20140810	0	0	0	0
20140811	0	0	0	0
20140812	0	0	0	0
20140813	0	0	0	0
20140814	0	0	0	0
20140815	0	0	0	0
20140816	0	0	0	0
20140817	0	0	0	0
20140818	0	0	0	0
20140819	0	0	0	0
20140820	0	0	0	0
20140821	0	0	0	0
20140822	0	0	0	0
20140823	0	0	0	0
20140824	0	0	0	0
20140825	0	0	0	0
20140826	0	0	0	0
20140827	0	0	0	0
20140828	0	0	0	0
20140829	0	0	0	0
20140830	0	0	0	0
20140831	0	0	0	0
20140901	0	0	0	351
20140902	0	0	0	0
20140903	0	0	0	0
20140904	0	0	0	0
20140905	0	0	0	0
20140906	0	0	0	0
20140907	0	0	0	0
20140908	0	0	0	0
20140909	0	0	0	0
20140910	0	0	0	0
20140911	0	0	0	0
20140912	0	0	0	0
20140913	0	0	0	0
20140914	0	0	0	0
20140915	0	0	0	0
20140916	0	0	0	0
20140917	0	0	0	0
20140918	0	0	0	0
20140919	0	0	0	0
20140920	0	0	0	0
20140921	0	0	0	0
20140922	0	0	0	0
20140923	0	0	0	0
20140924	0	0	0	0
20140925	0	0	0	0
20140926	0	0	0	0
20140927	0	0	0	0
20140928	0	0	0	0
20140929	0	0	0	0
20140930	0	0	0	0
20141001	0	0	0	0
20141002	0	0	0	0
20141003	0	0	0	0
20141004	0	0	0	0
20141005	0	0	0	0
20141006	0	0	0	0
20141007	0	0	0	0
20141008	0	0	0	0
20141009	0	0	0	0
20141010	0	0	0	0
20141011	0	0	0	0
20141012	0	0	0	0
20141013	0	0	0	0
20141014	0	0	0	0
20141015	0	0	0	0
20141016	0	0	0	0
20141017	0	0	0	0
20141018	0	0	0	0
20141019	0	0	0	0
20141020	0	0	0	0
20141021	0	0	0	0
20141022	0	0	0	0
20141023	0	0	0	0
20141024	0	0	0	0
20141025	0	0	0	0
20141026	0	0	0	0
20141027	0	0	0	0
20141028	0	0	0	0
20141029	0	0	0	0
20141030	0	0	0	0
20141031	0	0	0	0
20141101	0	0	0	0
20141102	0	0	0	0
20141103	0	0	0	0
20141104	0	0	0	0
20141105	0	0	0	0
20141106	1	0	0	0
20141107	0	1	0	0
20141108	0	0	0	0
20141109	0	0	0	0
20141110	0	0	0	0
20141111	0	0	0	0
20141112	0	0	0	0
20141113	0	0	0	0
20141114	0	0	0	0
20141115	0	0	0	0
20141116	0	0	0	0
20141117	0	0	0	0
20141118	1	0	0	0
20141119	0	0	0	0
20141120	0	0	0	0
20141121	0	0	0	0
20141122	0	0	0	0
20141123	0	0	0	0
20141124	0	0	0	0
20141125	1	2	0	0
20141126	0	0	0	0
20141127	0	0	0	0
20141128	0	0	0	0
20141129	0	0	0	0
20141130	0	0	0	0
20141201	1	0	1055	0
20141202	0	0	0	0
20141203	0	1	0	0
20141204	0	0	0	0
20141205	0	0	0	0
20141206	0	0	0	0
20141207	0	0	0	0
20141208	0	0	0	0
20141209	0	0	0	0
20141210	0	0	0	0
20141211	0	0	0	0
20141212	0	0	0	0
20141213	0	0	0	0
20141214	0	0	0	0
20141215	0	0	0	0
20141216	0	0	0	0
20141217	0	0	0	0
20141218	0	0	0	0
20141219	0	0	0	0
20141220	0	0	0	0
20141221	0	0	0	0
20141222	0	0	0	0
20141223	0	0	0	0
20141224	0	0	0	0
20141225	0	0	0	0
20141226	0	0	0	0
20141227	0	0	0	0
20141228	0	0	0	0
20141229	1	0	0	0
20141230	0	1	0	0
